Date,AAPL,GOOG
2004-08-19,0.4654741883277893,2.4991331100463867
2004-08-20,0.4668380618095398,2.697638988494873
2004-08-23,0.47108194231987,2.7247869968414307
2004-08-24,0.4842689037322998,2.611959934234619
2004-08-25,0.5009419322013855,2.640104055404663
2004-08-26,0.5253449082374573,2.687675952911377
2004-08-27,0.5206457376480103,2.6438400745391846
2004-08-30,0.5171599388122559,2.540726900100708
2004-08-31,0.5227679014205933,2.5496931076049805
2004-09-01,0.5435329079627991,2.4968910217285156
2004-09-02,0.5405017733573914,2.528273105621338
2004-09-03,0.5339838266372681,2.490912914276123
2004-09-07,0.5420169234275818,2.5300168991088867
2004-09-08,0.5509596467018127,2.547950029373169
2004-09-09,0.541107714176178,2.548198938369751
2004-09-10,0.543684720993042,2.6234169006347656
2004-09-13,0.5394406318664551,2.677464008331299
2004-09-14,0.5379246473312378,2.7768421173095703
2004-09-15,0.5335285663604736,2.789544105529785
2004-09-16,0.5509596467018127,2.8386099338531494
2004-09-17,0.5629338026046753,2.9262819290161133
2004-09-20,0.5715734958648682,2.9728569984436035
2004-09-21,0.5761207938194275,2.9349989891052246
2004-09-22,0.5595996379852295,2.9484479427337646
2004-09-23,0.5649046301841736,3.009221076965332
2004-09-24,0.5652077198028564,2.984563112258911
2004-09-27,0.5688454508781433,2.945460081100464
2004-09-28,0.5765753984451294,3.1596570014953613
2004-09-29,0.5862756967544556,3.264763116836548
2004-09-30,0.587336540222168,3.227900981903076
2004-10-01,0.58612459897995,3.3021230697631836
2004-10-04,0.587943434715271,3.3638908863067627
2004-10-05,0.5967346429824829,3.4463319778442383
2004-10-06,0.6159836053848267,3.414202928543091
2004-10-07,0.6005235314369202,3.458287000656128
2004-10-08,0.5920355319976807,3.430392026901245
2004-10-11,0.5849116444587708,3.368872880935669
2004-10-12,0.5803646445274353,3.422173023223877
2004-10-13,0.6024937033653259,3.5093460083007812
2004-10-14,0.6817653775215149,3.536742925643921
2004-10-15,0.6896471381187439,3.5892961025238037
2004-10-18,0.7237509489059448,3.7150750160217285
2004-10-19,0.7187490463256836,3.6846890449523926
2004-10-20,0.7195069193840027,3.499134063720703
