DateRep,CountryExp,CountryCode,ConfCases
2022-05-15,Malta,MT,0
2022-05-15,Netherlands,NL,0
2022-05-15,Norway,NO,0
2022-05-15,Poland,PL,0
2022-05-15,Portugal,PT,0
2022-05-15,Romania,RO,0
2022-05-15,Slovakia,SK,0
2022-05-15,Slovenia,SI,0
2022-05-15,Spain,ES,2
2022-05-15,Sweden,SE,0
2022-05-16,Austria,AT,0
2022-05-16,Belgium,BE,0
2022-05-16,Bulgaria,BG,0
2022-05-16,Croatia,HR,0
2022-05-16,Cyprus,CY,0
2022-05-16,Czechia,CZ,0
2022-05-16,Denmark,DK,0
2022-05-16,Estonia,EE,0
2022-05-16,Finland,FI,0
2022-05-16,France,FR,0
2022-05-16,Germany,DE,0
2022-05-16,Greece,EL,0
2022-05-16,Hungary,HU,0
2022-05-16,Iceland,IS,0
2022-05-16,Ireland,IE,0
2022-05-16,Italy,IT,2
2022-05-16,Latvia,LV,0
2022-05-16,Lithuania,LT,0
2022-05-16,Luxembourg,LU,0
2022-05-16,Malta,MT,0
2022-05-16,Netherlands,NL,0
2022-05-16,Norway,NO,0
2022-05-16,Poland,PL,0
2022-05-16,Portugal,PT,0
2022-05-16,Romania,RO,0
2022-05-16,Slovakia,SK,0
2022-05-16,Slovenia,SI,0
2022-05-16,Spain,ES,5
2022-05-16,Sweden,SE,0
2022-05-17,Austria,AT,0
2022-05-17,Belgium,BE,0
2022-05-17,Bulgaria,BG,0
2022-05-17,Croatia,HR,0
2022-05-17,Cyprus,CY,0
2022-05-17,Czechia,CZ,0
2022-05-17,Denmark,DK,0
2022-05-17,Estonia,EE,0
2022-05-17,Finland,FI,0
2022-05-17,France,FR,0
2022-05-17,Germany,DE,0
2022-05-17,Greece,EL,0
2022-05-17,Hungary,HU,0
2022-05-17,Iceland,IS,0
2022-05-17,Ireland,IE,0
2022-05-17,Italy,IT,0
2022-05-17,Latvia,LV,0
2022-05-17,Lithuania,LT,0
2022-05-17,Luxembourg,LU,0
2022-05-17,Malta,MT,0
2022-05-17,Netherlands,NL,0
2022-05-17,Norway,NO,0
2022-05-17,Poland,PL,0
2022-05-17,Portugal,PT,0
2022-05-17,Romania,RO,0
2022-05-17,Slovakia,SK,0
2022-05-17,Slovenia,SI,0
2022-05-17,Spain,ES,3
2022-05-17,Sweden,SE,0
2022-05-18,Austria,AT,1
2022-05-18,Belgium,BE,0
