eventId,eventNumber,eventName_sv,eventName_en,eventDate,eventTime,eventTimestamp,eventHasFaceToFace,filmId,partyId,venueId,venueName,eventTicketStatus,eventBuyURL,eventBuyOneTimeURL,eventModifiedTimestamp
8044,303,The Chambermaid,The Chambermaid,2018-11-09,10:45:00,1541756700,false,12412,NA,8,Sture 3,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8044,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8044,1541543915
8045,304,Icebox,Icebox,2018-11-09,11:00:00,1541757600,false,12385,NA,1,Skandia,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8045,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8045,1541520010
8046,305,Mapplethorpe,Mapplethorpe,2018-11-09,11:00:00,1541757600,false,12388,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8046,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8046,1541527594
8047,306,Minding The Gap,Minding The Gap,2018-11-09,12:30:00,1541763000,false,12422,NA,7,Sture 2,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8047,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8047,1541540902
8048,307,Blindspotting,Blindspotting,2018-11-09,12:45:00,1541763900,false,12481,NA,8,Sture 3,soldout,NA,NA,1540545104
8049,308,In the Aisles,In the Aisles,2018-11-09,13:00:00,1541764800,false,12446,NA,1,Skandia,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8049,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8049,1541503580
8050,309,Dear Son,Dear Son,2018-11-09,13:00:00,1541764800,false,12439,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8050,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8050,1541432717
8051,310,Nancy,Nancy,2018-11-09,14:15:00,1541769300,false,12390,NA,7,Sture 2,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8051,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8051,1541527594
8052,311,Thunder Road,Thunder Road,2018-11-09,14:45:00,1541771100,false,12393,NA,8,Sture 3,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8052,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8052,1541545970
8053,312,Pause,Pause,2018-11-09,15:00:00,1541772000,false,12408,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8053,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8053,1541508464
