Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Betyg per ämne årskurs 6
Valt läsår: 2018/19

;;;;;;Antal elever;Antal elever;Antal elever;Andel (%) med A-E;Andel (%) med A-E;Andel (%) med A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Åmål;1492;Västra Götalands län;14;Kommunal;Fysik;114;55;59;90,4;~100;..;12,4;13,3;11,6;
Åmål;1492;Västra Götalands län;14;Enskild;Fysik;25;..;..;~100;..;~100;12,8;..;11,8;
Ånge;2260;Västernorrlands län;22;Samtliga;Fysik;46;18;28;~100;~100;~100;12,6;13,5;12,1;
Ånge;2260;Västernorrlands län;22;Kommunal;Fysik;46;18;28;~100;~100;~100;12,6;13,5;12,1;
Ånge;2260;Västernorrlands län;22;Enskild;Fysik;.;.;.;.;.;.;.;.;.;
Åre;2321;Jämtlands län;23;Samtliga;Fysik;133;62;71;94,0;~100;..;11,9;12,3;11,4;
Åre;2321;Jämtlands län;23;Kommunal;Fysik;133;62;71;94,0;~100;..;11,9;12,3;11,4;
Årjäng;1765;Värmlands län;17;Samtliga;Fysik;85;47;38;~100;~100;~100;14,0;14,0;14,1;
Årjäng;1765;Värmlands län;17;Kommunal;Fysik;85;47;38;~100;~100;~100;14,0;14,0;14,1;
Åsele;2463;Västerbottens län;24;Samtliga;Fysik;32;12;20;~100;~100;~100;12,1;11,9;12,3;
Åsele;2463;Västerbottens län;24;Kommunal;Fysik;32;12;20;~100;~100;~100;12,1;11,9;12,3;
Åstorp;1277;Skåne län;12;Samtliga;Fysik;215;112;103;87,9;88,4;87,4;12,0;12,3;11,7;
Åstorp;1277;Skåne län;12;Kommunal;Fysik;215;112;103;87,9;88,4;87,4;12,0;12,3;11,7;
Åtvidaberg;0561;Östergötlands län;05;Samtliga;Fysik;138;73;65;89,1;86,3;92,3;11,3;10,8;11,8;
Åtvidaberg;0561;Östergötlands län;05;Kommunal;Fysik;138;73;65;89,1;86,3;92,3;11,3;10,8;11,8;
Älmhult;0765;Kronobergs län;07;Samtliga;Fysik;169;83;86;92,9;~100;..;12,7;13,7;11,7;
Älmhult;0765;Kronobergs län;07;Kommunal;Fysik;146;69;77;93,8;~100;..;12,9;13,6;12,3;
Älmhult;0765;Kronobergs län;07;Enskild;Fysik;23;..;..;~100;100,0;..;11,3;14,3;..;
Älvdalen;2039;Dalarnas län;20;Samtliga;Fysik;20;..;..;~100;..;..;9,5;..;8,4;
Älvdalen;2039;Dalarnas län;20;Kommunal;Fysik;20;..;..;~100;..;..;9,5;..;8,4;
Älvkarleby;0319;Uppsala län;03;Samtliga;Fysik;71;33;38;93,0;~100;~100;11,4;11,7;11,1;
Älvkarleby;0319;Uppsala län;03;Kommunal;Fysik;71;33;38;93,0;~100;~100;11,4;11,7;11,1;
Älvkarleby;0319;Uppsala län;03;Enskild;Fysik;.;.;.;.;.;.;.;.;.;
Älvsbyn;2560;Norrbottens län;25;Samtliga;Fysik;13;..;..;100,0;..;..;12,7;..;..;
Älvsbyn;2560;Norrbottens län;25;Kommunal;Fysik;13;..;..;100,0;..;..;12,7;..;..;
Ängelholm;1292;Skåne län;12;Samtliga;Fysik;388;211;177;93,0;94,3;91,5;12,8;13,2;12,4;
Ängelholm;1292;Skåne län;12;Kommunal;Fysik;375;206;169;93,1;94,7;91,1;12,7;13,2;12,2;
Ängelholm;1292;Skåne län;12;Enskild;Fysik;13;..;..;~100;..;..;15,8;..;..;
Öckerö;1407;Västra Götalands län;14;Samtliga;Fysik;139;67;72;95,0;~100;~100;12,2;13,1;11,5;
Öckerö;1407;Västra Götalands län;14;Kommunal;Fysik;139;67;72;95,0;~100;~100;12,2;13,1;11,5;
Öckerö;1407;Västra Götalands län;14;Enskild;Fysik;.;.;.;.;.;.;.;.;.;
Ödeshög;0509;Östergötlands län;05;Samtliga;Fysik;67;31;36;89,6;~100;..;12,3;13,3;11,4;
Ödeshög;0509;Östergötlands län;05;Kommunal;Fysik;67;31;36;89,6;~100;..;12,3;13,3;11,4;
Örebro;1880;Örebro län;18;Samtliga;Fysik;1 621;798;823;90,3;92,0;88,7;12,4;13,1;11,7;
Örebro;1880;Örebro län;18;Kommunal;Fysik;1 120;539;581;87,9;89,4;86,4;12,1;12,8;11,4;
Örebro;1880;Örebro län;18;Enskild;Fysik;501;259;242;95,8;97,3;94,2;13,1;13,6;12,5;
Örkelljunga;1257;Skåne län;12;Samtliga;Fysik;59;32;27;86,4;~100;..;11,2;11,8;10,5;
Örkelljunga;1257;Skåne län;12;Kommunal;Fysik;56;29;27;85,7;~100;..;11,2;11,9;10,5;
Örkelljunga;1257;Skåne län;12;Enskild;Fysik;..;..;..;..;..;.;..;..;.;
Örnsköldsvik;2284;Västernorrlands län;22;Samtliga;Fysik;621;309;312;93,7;96,4;91,0;12,5;13,4;11,7;
Örnsköldsvik;2284;Västernorrlands län;22;Kommunal;Fysik;599;301;298;93,8;96,3;91,3;12,5;13,4;11,6;
Örnsköldsvik;2284;Västernorrlands län;22;Enskild;Fysik;22;..;..;~100;..;~100;13,8;..;14,2;
Östersund;2380;Jämtlands län;23;Samtliga;Fysik;442;223;219;95,5;95,1;95,9;12,7;13,1;12,3;
Östersund;2380;Jämtlands län;23;Kommunal;Fysik;442;223;219;95,5;95,1;95,9;12,7;13,1;12,3;
Östersund;2380;Jämtlands län;23;Enskild;Fysik;.;.;.;.;.;.;.;.;.;
Österåker;0117;Stockholms län;01;Samtliga;Fysik;384;190;194;96,1;~100;..;14,1;14,6;13,6;
Österåker;0117;Stockholms län;01;Kommunal;Fysik;253;132;121;96,0;~100;..;14,1;14,7;13,4;
Österåker;0117;Stockholms län;01;Enskild;Fysik;131;58;73;96,2;~100;~100;14,0;14,4;13,8;
Östhammar;0382;Uppsala län;03;Samtliga;Fysik;184;101;83;95,7;..;~100;12,5;12,9;12,1;
Östhammar;0382;Uppsala län;03;Kommunal;Fysik;184;101;83;95,7;..;~100;12,5;12,9;12,1;
Östra Göinge;1256;Skåne län;12;Samtliga;Fysik;161;76;85;88,8;92,1;85,9;12,3;13,0;11,7;
Östra Göinge;1256;Skåne län;12;Kommunal;Fysik;161;76;85;88,8;92,1;85,9;12,3;13,0;11,7;
Östra Göinge;1256;Skåne län;12;Enskild;Fysik;.;.;.;.;.;.;.;.;.;
Överkalix;2513;Norrbottens län;25;Samtliga;Fysik;27;10;17;~100;..;~100;12,1;14,3;10,9;
Överkalix;2513;Norrbottens län;25;Kommunal;Fysik;19;..;..;~100;..;..;9,7;..;8,5;
Överkalix;2513;Norrbottens län;25;Enskild;Fysik;..;..;..;..;..;..;..;..;..;
Övertorneå;2518;Norrbottens län;25;Samtliga;Fysik;.;.;.;.;.;.;.;.;.;
Övertorneå;2518;Norrbottens län;25;Kommunal;Fysik;.;.;.;.;.;.;.;.;.;
Övertorneå;2518;Norrbottens län;25;Enskild;Fysik;.;.;.;.;.;.;.;.;.;
Ale;1440;Västra Götalands län;14;Samtliga;Geografi;419;219;200;96,7;97,7;95,5;14,0;14,9;13,1;
Ale;1440;Västra Götalands län;14;Kommunal;Geografi;397;207;190;96,5;97,6;95,3;14,0;14,9;13,0;
Ale;1440;Västra Götalands län;14;Enskild;Geografi;22;12;10;100,0;100,0;100,0;15,0;15,8;14,0;
Alingsås;1489;Västra Götalands län;14;Samtliga;Geografi;378;187;191;93,7;94,1;93,2;12,9;13,7;12,2;
Alingsås;1489;Västra Götalands län;14;Kommunal;Geografi;281;132;149;92,5;93,2;91,9;12,7;13,2;12,2;
Alingsås;1489;Västra Götalands län;14;Enskild;Geografi;97;55;42;~100;~100;~100;13,6;14,6;12,2;
Alvesta;0764;Kronobergs län;07;Samtliga;Geografi;245;114;131;89,8;93,0;87,0;12,7;13,8;11,7;
Alvesta;0764;Kronobergs län;07;Kommunal;Geografi;236;109;127;90,3;93,6;87,4;12,8;14,1;11,8;
Alvesta;0764;Kronobergs län;07;Enskild;Geografi;..;..;..;..;..;..;..;..;..;
Aneby;0604;Jönköpings län;06;Samtliga;Geografi;..;..;..;..;..;..;..;..;..;
Aneby;0604;Jönköpings län;06;Kommunal;Geografi;..;..;..;..;..;.;..;..;.;
Aneby;0604;Jönköpings län;06;Enskild;Geografi;..;..;..;..;..;..;..;..;..;
Arboga;1984;Västmanlands län;19;Samtliga;Geografi;72;31;41;88,9;~100;..;13,1;15,5;11,3;
Arboga;1984;Västmanlands län;19;Kommunal;Geografi;72;31;41;88,9;~100;..;13,1;15,5;11,3;
Arjeplog;2506;Norrbottens län;25;Samtliga;Geografi;25;14;11;~100;100,0;~100;14,0;16,3;11,1;
Arjeplog;2506;Norrbottens län;25;Kommunal;Geografi;25;14;11;~100;100,0;~100;14,0;16,3;11,1;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Geografi;.;.;.;.;.;.;.;.;.;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Geografi;.;.;.;.;.;.;.;.;.;
Arvika;1784;Värmlands län;17;Samtliga;Geografi;291;134;157;94,5;94,0;94,9;13,5;14,1;13,1;
Arvika;1784;Värmlands län;17;Kommunal;Geografi;291;134;157;94,5;94,0;94,9;13,5;14,1;13,1;
Askersund;1882;Örebro län;18;Samtliga;Geografi;111;51;60;91,9;~100;..;11,3;11,8;10,9;
Askersund;1882;Örebro län;18;Kommunal;Geografi;111;51;60;91,9;~100;..;11,3;11,8;10,9;
Avesta;2084;Dalarnas län;20;Samtliga;Geografi;255;142;113;87,1;90,1;83,2;12,2;13,2;10,9;
Avesta;2084;Dalarnas län;20;Kommunal;Geografi;242;133;109;86,4;89,5;82,6;12,2;13,2;10,9;
Avesta;2084;Dalarnas län;20;Enskild;Geografi;13;..;..;100,0;..;..;12,1;..;..;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Geografi;..;..;..;..;..;.;..;..;.;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Geografi;..;..;..;..;..;.;..;..;.;
Berg;2326;Jämtlands län;23;Samtliga;Geografi;89;45;44;~100;~100;~100;13,9;13,4;14,4;
Berg;2326;Jämtlands län;23;Kommunal;Geografi;84;41;43;~100;~100;~100;13,9;13,2;14,5;
Berg;2326;Jämtlands län;23;Enskild;Geografi;..;..;..;..;..;..;..;..;..;
Bjurholm;2403;Västerbottens län;24;Samtliga;Geografi;23;..;..;100,0;..;100,0;13,9;..;14,2;
Bjurholm;2403;Västerbottens län;24;Kommunal;Geografi;23;..;..;100,0;..;100,0;13,9;..;14,2;
Bjuv;1260;Skåne län;12;Samtliga;Geografi;187;93;94;87,2;90,3;84,0;12,2;13,0;11,4;
Bjuv;1260;Skåne län;12;Kommunal;Geografi;187;93;94;87,2;90,3;84,0;12,2;13,0;11,4;
Boden;2582;Norrbottens län;25;Samtliga;Geografi;252;112;140;94,0;~100;..;13,0;14,0;12,2;
Boden;2582;Norrbottens län;25;Kommunal;Geografi;197;90;107;93,4;~100;..;12,9;14,0;12,0;
Boden;2582;Norrbottens län;25;Enskild;Geografi;55;22;33;~100;100,0;~100;13,4;13,8;13,1;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Geografi;124;63;61;95,2;100,0;90,2;14,1;14,8;13,4;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Geografi;102;54;48;94,1;100,0;87,5;13,9;14,5;13,3;
Bollebygd;1443;Västra Götalands län;14;Enskild;Geografi;22;..;..;100,0;..;100,0;14,9;..;13,8;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Geografi;301;160;141;95,0;96,3;93,6;12,8;13,5;12,1;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Geografi;267;143;124;94,4;95,8;92,7;12,8;13,4;12,2;
Bollnäs;2183;Gävleborgs län;21;Enskild;Geografi;34;17;17;100,0;100,0;100,0;12,9;14,0;11,8;
Borgholm;0885;Kalmar län;08;Samtliga;Geografi;86;44;42;91,9;~100;..;12,7;13,8;11,5;
Borgholm;0885;Kalmar län;08;Kommunal;Geografi;86;44;42;91,9;~100;..;12,7;13,8;11,5;
Borlänge;2081;Dalarnas län;20;Samtliga;Geografi;599;287;312;93,3;94,8;92,0;12,6;13,2;12,0;
Borlänge;2081;Dalarnas län;20;Kommunal;Geografi;522;251;271;93,5;94,4;92,6;12,5;13,0;12,0;
Borlänge;2081;Dalarnas län;20;Enskild;Geografi;77;36;41;92,2;~100;..;13,3;14,7;12,1;
Borås;1490;Västra Götalands län;14;Samtliga;Geografi;1 330;658;672;92,9;93,5;92,4;13,0;13,7;12,4;
Borås;1490;Västra Götalands län;14;Kommunal;Geografi;1 066;531;535;91,6;92,1;91,0;12,8;13,4;12,3;
Borås;1490;Västra Götalands län;14;Enskild;Geografi;264;127;137;~100;~100;~100;13,9;14,8;13,1;
Botkyrka;0127;Stockholms län;01;Samtliga;Geografi;884;434;450;86,7;88,0;85,3;11,7;12,1;11,3;
Botkyrka;0127;Stockholms län;01;Kommunal;Geografi;785;379;406;85,7;87,1;84,5;11,6;12,0;11,1;
Botkyrka;0127;Stockholms län;01;Enskild;Geografi;99;55;44;93,9;~100;~100;12,4;12,4;12,4;
Boxholm;0560;Östergötlands län;05;Samtliga;Geografi;.;.;.;.;.;.;.;.;.;
Boxholm;0560;Östergötlands län;05;Kommunal;Geografi;.;.;.;.;.;.;.;.;.;
Bromölla;1272;Skåne län;12;Samtliga;Geografi;171;79;92;87,7;86,1;89,1;12,7;13,2;12,2;
Bromölla;1272;Skåne län;12;Kommunal;Geografi;171;79;92;87,7;86,1;89,1;12,7;13,2;12,2;
Bräcke;2305;Jämtlands län;23;Samtliga;Geografi;66;29;37;84,8;82,8;86,5;10,7;10,5;10,9;
Bräcke;2305;Jämtlands län;23;Kommunal;Geografi;66;29;37;84,8;82,8;86,5;10,7;10,5;10,9;
Burlöv;1231;Skåne län;12;Samtliga;Geografi;195;98;97;83,1;79,6;86,6;11,8;11,8;11,8;
Burlöv;1231;Skåne län;12;Kommunal;Geografi;195;98;97;83,1;79,6;86,6;11,8;11,8;11,8;
Båstad;1278;Skåne län;12;Samtliga;Geografi;153;73;80;90,8;91,8;90,0;12,2;12,4;12,0;
Båstad;1278;Skåne län;12;Kommunal;Geografi;153;73;80;90,8;91,8;90,0;12,2;12,4;12,0;
Båstad;1278;Skåne län;12;Enskild;Geografi;.;.;.;.;.;.;.;.;.;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;Geografi;55;25;30;~100;~100;~100;13,7;14,5;13,0;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;Geografi;55;25;30;~100;~100;~100;13,7;14,5;13,0;
Danderyd;0162;Stockholms län;01;Samtliga;Geografi;513;247;266;98,6;100,0;97,4;16,1;16,7;15,5;
Danderyd;0162;Stockholms län;01;Kommunal;Geografi;484;229;255;98,6;100,0;97,3;16,0;16,7;15,4;
Danderyd;0162;Stockholms län;01;Enskild;Geografi;29;18;11;100,0;100,0;100,0;17,2;16,9;17,5;
Degerfors;1862;Örebro län;18;Samtliga;Geografi;80;42;38;88,8;~100;..;11,9;12,9;10,8;
Degerfors;1862;Örebro län;18;Kommunal;Geografi;80;42;38;88,8;~100;..;11,9;12,9;10,8;
Eda;1730;Värmlands län;17;Samtliga;Geografi;82;40;42;89,0;~100;..;12,0;12,9;11,1;
Eda;1730;Värmlands län;17;Kommunal;Geografi;82;40;42;89,0;~100;..;12,0;12,9;11,1;
Ekerö;0125;Stockholms län;01;Samtliga;Geografi;361;160;201;97,2;~100;..;14,4;15,2;13,7;
Ekerö;0125;Stockholms län;01;Kommunal;Geografi;329;145;184;97,0;~100;..;14,4;15,2;13,7;
Ekerö;0125;Stockholms län;01;Enskild;Geografi;32;15;17;100,0;100,0;100,0;14,1;14,8;13,5;
Eksjö;0686;Jönköpings län;06;Samtliga;Geografi;194;91;103;93,8;94,5;93,2;13,3;13,9;12,7;
Eksjö;0686;Jönköpings län;06;Kommunal;Geografi;193;91;102;93,8;94,5;93,1;13,3;13,9;12,7;
Eksjö;0686;Jönköpings län;06;Enskild;Geografi;..;..;..;..;.;..;..;.;..;
Emmaboda;0862;Kalmar län;08;Samtliga;Geografi;108;61;47;88,9;..;~100;12,2;12,1;12,4;
Emmaboda;0862;Kalmar län;08;Kommunal;Geografi;108;61;47;88,9;..;~100;12,2;12,1;12,4;
Enköping;0381;Uppsala län;03;Samtliga;Geografi;527;274;253;95,8;94,9;96,8;13,0;13,5;12,6;
Enköping;0381;Uppsala län;03;Kommunal;Geografi;375;193;182;94,9;93,8;96,2;12,6;12,9;12,2;
Enköping;0381;Uppsala län;03;Enskild;Geografi;152;81;71;~100;~100;~100;14,2;14,8;13,4;
Eskilstuna;0484;Södermanlands län;04;Samtliga;Geografi;1 364;671;693;90,9;92,3;89,6;12,3;12,8;11,8;
Eskilstuna;0484;Södermanlands län;04;Kommunal;Geografi;1 047;517;530;88,6;90,3;87,0;12,2;12,7;11,7;
Eskilstuna;0484;Södermanlands län;04;Enskild;Geografi;317;154;163;98,4;~100;~100;12,9;13,4;12,4;
Eslöv;1285;Skåne län;12;Samtliga;Geografi;280;119;161;88,9;88,2;89,4;12,1;12,1;12,1;
Eslöv;1285;Skåne län;12;Kommunal;Geografi;280;119;161;88,9;88,2;89,4;12,1;12,1;12,1;
Eslöv;1285;Skåne län;12;Enskild;Geografi;.;.;.;.;.;.;.;.;.;
Essunga;1445;Västra Götalands län;14;Samtliga;Geografi;43;23;20;~100;~100;100,0;15,7;17,2;14,1;
Essunga;1445;Västra Götalands län;14;Kommunal;Geografi;43;23;20;~100;~100;100,0;15,7;17,2;14,1;
Fagersta;1982;Västmanlands län;19;Samtliga;Geografi;159;74;85;95,6;~100;~100;13,8;14,7;13,1;
Fagersta;1982;Västmanlands län;19;Kommunal;Geografi;139;64;75;95,0;~100;~100;13,9;14,8;13,1;
Fagersta;1982;Västmanlands län;19;Enskild;Geografi;20;10;10;100,0;100,0;100,0;13,8;14,3;13,3;
Falkenberg;1382;Hallands län;13;Samtliga;Geografi;407;208;199;88,0;88,0;87,9;11,8;12,0;11,7;
Falkenberg;1382;Hallands län;13;Kommunal;Geografi;407;208;199;88,0;88,0;87,9;11,8;12,0;11,7;
Falkenberg;1382;Hallands län;13;Enskild;Geografi;.;.;.;.;.;.;.;.;.;
Falköping;1499;Västra Götalands län;14;Samtliga;Geografi;210;96;114;91,9;90,6;93,0;12,5;13,4;11,8;
Falköping;1499;Västra Götalands län;14;Kommunal;Geografi;195;89;106;91,3;89,9;92,5;12,5;13,4;11,7;
Falköping;1499;Västra Götalands län;14;Enskild;Geografi;15;..;..;100,0;..;..;12,8;..;..;
Falun;2080;Dalarnas län;20;Samtliga;Geografi;686;337;349;94,2;95,3;93,1;13,0;13,8;12,3;
Falun;2080;Dalarnas län;20;Kommunal;Geografi;503;238;265;93,2;95,0;91,7;12,9;13,6;12,3;
Falun;2080;Dalarnas län;20;Enskild;Geografi;183;99;84;96,7;~100;~100;13,4;14,3;12,4;
Filipstad;1782;Värmlands län;17;Samtliga;Geografi;116;57;59;94,8;~100;..;12,6;12,9;12,2;
Filipstad;1782;Värmlands län;17;Kommunal;Geografi;116;57;59;94,8;~100;..;12,6;12,9;12,2;
Filipstad;1782;Värmlands län;17;Enskild;Geografi;.;.;.;.;.;.;.;.;.;
Finspång;0562;Östergötlands län;05;Samtliga;Geografi;218;89;129;93,6;~100;..;13,7;14,4;13,1;
Finspång;0562;Östergötlands län;05;Kommunal;Geografi;218;89;129;93,6;~100;..;13,7;14,4;13,1;
Finspång;0562;Östergötlands län;05;Enskild;Geografi;.;.;.;.;.;.;.;.;.;
Flen;0482;Södermanlands län;04;Samtliga;Geografi;173;79;94;86,7;~100;..;11,4;12,7;10,3;
Flen;0482;Södermanlands län;04;Kommunal;Geografi;114;48;66;79,8;~100;..;10,9;12,6;9,6;
Flen;0482;Södermanlands län;04;Enskild;Geografi;59;31;28;100,0;100,0;100,0;12,5;13,0;11,9;
Forshaga;1763;Värmlands län;17;Samtliga;Geografi;141;67;74;95,0;~100;..;11,9;12,5;11,4;
Forshaga;1763;Värmlands län;17;Kommunal;Geografi;141;67;74;95,0;~100;..;11,9;12,5;11,4;
Färgelanda;1439;Västra Götalands län;14;Samtliga;Geografi;73;31;42;80,8;80,6;81,0;10,8;11,4;10,3;
Färgelanda;1439;Västra Götalands län;14;Kommunal;Geografi;61;27;34;77,0;77,8;76,5;9,8;10,6;9,1;
Färgelanda;1439;Västra Götalands län;14;Enskild;Geografi;12;..;..;100,0;..;..;15,6;..;..;
Gagnef;2026;Dalarnas län;20;Samtliga;Geografi;115;47;68;94,8;~100;~100;13,6;13,9;13,4;
Gagnef;2026;Dalarnas län;20;Kommunal;Geografi;115;47;68;94,8;~100;~100;13,6;13,9;13,4;
Gislaved;0662;Jönköpings län;06;Samtliga;Geografi;383;187;196;91,6;94,7;88,8;12,7;13,5;11,9;
Gislaved;0662;Jönköpings län;06;Kommunal;Geografi;374;184;190;91,4;94,6;88,4;12,7;13,5;11,9;
Gislaved;0662;Jönköpings län;06;Enskild;Geografi;..;..;..;..;..;..;..;..;..;
Gnesta;0461;Södermanlands län;04;Samtliga;Geografi;91;47;44;93,4;~100;~100;11,3;11,9;10,8;
Gnesta;0461;Södermanlands län;04;Kommunal;Geografi;91;47;44;93,4;~100;~100;11,3;11,9;10,8;
Gnesta;0461;Södermanlands län;04;Enskild;Geografi;.;.;.;.;.;.;.;.;.;
Gnosjö;0617;Jönköpings län;06;Samtliga;Geografi;108;56;52;93,5;~100;~100;13,5;13,4;13,7;
Gnosjö;0617;Jönköpings län;06;Kommunal;Geografi;108;56;52;93,5;~100;~100;13,5;13,4;13,7;
Gotland;0980;Gotlands län;09;Samtliga;Geografi;547;278;269;96,9;~100;..;13,7;14,4;13,0;
Gotland;0980;Gotlands län;09;Kommunal;Geografi;507;255;252;96,6;~100;..;13,6;14,3;12,9;
Gotland;0980;Gotlands län;09;Enskild;Geografi;40;23;17;100,0;100,0;100,0;15,0;15,5;14,3;
Grums;1764;Värmlands län;17;Samtliga;Geografi;101;56;45;80,2;82,1;77,8;10,4;11,4;9,2;
Grums;1764;Värmlands län;17;Kommunal;Geografi;91;50;41;80,2;80,0;80,5;10,3;11,2;9,3;
Grums;1764;Värmlands län;17;Enskild;Geografi;10;..;..;..;..;..;..;..;..;
Grästorp;1444;Västra Götalands län;14;Samtliga;Geografi;.;.;.;.;.;.;.;.;.;
Grästorp;1444;Västra Götalands län;14;Kommunal;Geografi;.;.;.;.;.;.;.;.;.;
Gullspång;1447;Västra Götalands län;14;Samtliga;Geografi;32;11;21;~100;100,0;~100;12,9;14,1;12,3;
Gullspång;1447;Västra Götalands län;14;Kommunal;Geografi;32;11;21;~100;100,0;~100;12,9;14,1;12,3;
Gällivare;2523;Norrbottens län;25;Statlig;Geografi;..;..;..;..;..;..;..;..;..;
Gällivare;2523;Norrbottens län;25;Samtliga;Geografi;137;66;71;93,4;~100;..;12,9;14,1;11,8;
Gällivare;2523;Norrbottens län;25;Kommunal;Geografi;133;63;70;93,2;~100;..;12,7;13,9;11,7;
Gällivare;2523;Norrbottens län;25;Enskild;Geografi;.;.;.;.;.;.;.;.;.;
Gävle;2180;Gävleborgs län;21;Samtliga;Geografi;1 089;538;551;94,0;94,6;93,5;13,4;14,0;12,9;
Gävle;2180;Gävleborgs län;21;Kommunal;Geografi;724;341;383;92,5;93,0;92,2;13,1;13,6;12,6;
Gävle;2180;Gävleborgs län;21;Enskild;Geografi;365;197;168;97,0;97,5;96,4;14,1;14,6;13,5;
Göteborg;1480;Västra Götalands län;14;Samtliga;Geografi;3 569;1 757;1 812;90,8;93,1;88,6;12,7;13,4;12,1;
Göteborg;1480;Västra Götalands län;14;Kommunal;Geografi;2 632;1 274;1 358;88,9;91,2;86,7;12,2;12,8;11,7;
Göteborg;1480;Västra Götalands län;14;Enskild;Geografi;937;483;454;96,4;98,1;94,5;14,1;14,8;13,3;
Götene;1471;Västra Götalands län;14;Samtliga;Geografi;131;61;70;93,1;~100;..;13,0;13,4;12,7;
Götene;1471;Västra Götalands län;14;Kommunal;Geografi;131;61;70;93,1;~100;..;13,0;13,4;12,7;
Habo;0643;Jönköpings län;06;Samtliga;Geografi;193;106;87;96,9;100,0;93,1;13,8;14,7;12,6;
Habo;0643;Jönköpings län;06;Kommunal;Geografi;193;106;87;96,9;100,0;93,1;13,8;14,7;12,6;
Hagfors;1783;Värmlands län;17;Samtliga;Geografi;92;42;50;88,0;100,0;78,0;11,6;13,3;10,3;
Hagfors;1783;Värmlands län;17;Kommunal;Geografi;92;42;50;88,0;100,0;78,0;11,6;13,3;10,3;
Hallsberg;1861;Örebro län;18;Samtliga;Geografi;194;88;106;90,7;90,9;90,6;12,9;13,2;12,6;
Hallsberg;1861;Örebro län;18;Kommunal;Geografi;194;88;106;90,7;90,9;90,6;12,9;13,2;12,6;
Hallstahammar;1961;Västmanlands län;19;Samtliga;Geografi;165;79;86;93,3;~100;..;13,8;15,0;12,8;
Hallstahammar;1961;Västmanlands län;19;Kommunal;Geografi;165;79;86;93,3;~100;..;13,8;15,0;12,8;
Halmstad;1380;Hallands län;13;Samtliga;Geografi;774;366;408;93,0;93,7;92,4;12,9;13,5;12,4;
Halmstad;1380;Hallands län;13;Kommunal;Geografi;678;328;350;92,3;93,3;91,4;12,7;13,3;12,1;
Halmstad;1380;Hallands län;13;Enskild;Geografi;96;38;58;~100;~100;~100;14,1;14,7;13,8;
Hammarö;1761;Värmlands län;17;Samtliga;Geografi;202;91;111;~100;100,0;~100;14,3;15,1;13,7;
Hammarö;1761;Värmlands län;17;Kommunal;Geografi;202;91;111;~100;100,0;~100;14,3;15,1;13,7;
Haninge;0136;Stockholms län;01;Samtliga;Geografi;864;405;459;92,5;93,3;91,7;12,3;12,7;11,8;
Haninge;0136;Stockholms län;01;Kommunal;Geografi;767;355;412;92,0;93,0;91,3;12,1;12,6;11,6;
Haninge;0136;Stockholms län;01;Enskild;Geografi;97;50;47;~100;~100;~100;13,7;13,5;13,9;
Haparanda;2583;Norrbottens län;25;Samtliga;Geografi;67;32;35;91,0;100,0;82,9;13,8;14,5;13,0;
Haparanda;2583;Norrbottens län;25;Kommunal;Geografi;63;31;32;90,5;100,0;81,3;13,8;14,6;12,9;
Haparanda;2583;Norrbottens län;25;Enskild;Geografi;..;..;..;..;..;..;..;..;..;
Heby;0331;Uppsala län;03;Samtliga;Geografi;116;48;68;91,4;~100;..;12,4;13,3;11,7;
Heby;0331;Uppsala län;03;Kommunal;Geografi;111;46;65;91,0;~100;..;12,4;13,4;11,7;
Heby;0331;Uppsala län;03;Enskild;Geografi;..;..;..;..;..;..;..;..;..;
Hedemora;2083;Dalarnas län;20;Samtliga;Geografi;173;93;80;87,3;93,5;80,0;11,5;12,8;10,0;
Hedemora;2083;Dalarnas län;20;Kommunal;Geografi;137;72;65;86,1;93,1;78,5;11,6;13,1;10,0;
Hedemora;2083;Dalarnas län;20;Enskild;Geografi;36;21;15;~100;~100;~100;11,0;11,9;9,8;
Helsingborg;1283;Skåne län;12;Samtliga;Geografi;1 627;781;846;92,1;93,7;90,7;12,8;13,5;12,1;
Helsingborg;1283;Skåne län;12;Kommunal;Geografi;1 209;553;656;92,1;93,3;91,0;12,7;13,6;12,0;
Helsingborg;1283;Skåne län;12;Enskild;Geografi;418;228;190;92,3;94,7;89,5;12,8;13,3;12,3;
Herrljunga;1466;Västra Götalands län;14;Samtliga;Geografi;77;45;32;~100;100,0;~100;13,4;14,9;11,2;
Herrljunga;1466;Västra Götalands län;14;Kommunal;Geografi;77;45;32;~100;100,0;~100;13,4;14,9;11,2;
