Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Betyg per ämne årskurs 6
Valt läsår: 2018/19

;;;;;;Antal elever;Antal elever;Antal elever;Andel (%) med A-E;Andel (%) med A-E;Andel (%) med A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Botkyrka;0127;Stockholms län;01;Samtliga;Bild;1 020;513;507;96,7;97,3;96,1;13,5;14,9;12,1;
Botkyrka;0127;Stockholms län;01;Kommunal;Bild;873;426;447;96,4;97,2;95,7;13,3;14,8;11,8;
Botkyrka;0127;Stockholms län;01;Enskild;Bild;147;87;60;~100;~100;~100;14,7;15,4;13,7;
Boxholm;0560;Östergötlands län;05;Samtliga;Bild;50;24;26;~100;~100;100,0;13,4;14,4;12,5;
Boxholm;0560;Östergötlands län;05;Kommunal;Bild;50;24;26;~100;~100;100,0;13,4;14,4;12,5;
Bromölla;1272;Skåne län;12;Samtliga;Bild;183;85;98;93,4;..;~100;14,3;15,8;13,0;
Bromölla;1272;Skåne län;12;Kommunal;Bild;183;85;98;93,4;..;~100;14,3;15,8;13,0;
Bräcke;2305;Jämtlands län;23;Samtliga;Bild;66;29;37;100,0;100,0;100,0;12,5;13,0;12,0;
Bräcke;2305;Jämtlands län;23;Kommunal;Bild;66;29;37;100,0;100,0;100,0;12,5;13,0;12,0;
Burlöv;1231;Skåne län;12;Samtliga;Bild;195;98;97;88,7;88,8;88,7;12,3;13,7;11,0;
Burlöv;1231;Skåne län;12;Kommunal;Bild;195;98;97;88,7;88,8;88,7;12,3;13,7;11,0;
Båstad;1278;Skåne län;12;Samtliga;Bild;167;82;85;~100;100,0;~100;13,7;15,0;12,4;
Båstad;1278;Skåne län;12;Kommunal;Bild;153;73;80;~100;100,0;~100;13,6;14,9;12,3;
Båstad;1278;Skåne län;12;Enskild;Bild;14;..;..;100,0;..;..;15,5;..;..;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;Bild;56;25;31;~100;100,0;~100;13,4;15,1;11,9;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;Bild;56;25;31;~100;100,0;~100;13,4;15,1;11,9;
Danderyd;0162;Stockholms län;01;Samtliga;Bild;514;248;266;~100;100,0;~100;15,5;16,8;14,3;
Danderyd;0162;Stockholms län;01;Kommunal;Bild;485;230;255;~100;100,0;~100;15,5;16,8;14,2;
Danderyd;0162;Stockholms län;01;Enskild;Bild;29;18;11;100,0;100,0;100,0;16,6;17,1;15,7;
Degerfors;1862;Örebro län;18;Samtliga;Bild;80;42;38;~100;100,0;~100;13,2;14,8;11,4;
Degerfors;1862;Örebro län;18;Kommunal;Bild;80;42;38;~100;100,0;~100;13,2;14,8;11,4;
Eda;1730;Värmlands län;17;Samtliga;Bild;82;40;42;~100;~100;~100;14,5;15,8;13,1;
Eda;1730;Värmlands län;17;Kommunal;Bild;82;40;42;~100;~100;~100;14,5;15,8;13,1;
Ekerö;0125;Stockholms län;01;Samtliga;Bild;362;160;202;~100;~100;~100;15,1;17,2;13,3;
Ekerö;0125;Stockholms län;01;Kommunal;Bild;330;145;185;~100;~100;~100;15,0;17,1;13,3;
Ekerö;0125;Stockholms län;01;Enskild;Bild;32;15;17;100,0;100,0;100,0;15,7;18,3;13,4;
Eksjö;0686;Jönköpings län;06;Samtliga;Bild;194;91;103;~100;~100;~100;13,6;15,5;11,9;
Eksjö;0686;Jönköpings län;06;Kommunal;Bild;193;91;102;~100;~100;~100;13,6;15,5;12,0;
Eksjö;0686;Jönköpings län;06;Enskild;Bild;..;..;..;..;.;..;..;.;..;
Emmaboda;0862;Kalmar län;08;Samtliga;Bild;109;62;47;~100;~100;100,0;12,8;13,8;11,5;
Emmaboda;0862;Kalmar län;08;Kommunal;Bild;109;62;47;~100;~100;100,0;12,8;13,8;11,5;
Enköping;0381;Uppsala län;03;Samtliga;Bild;532;277;255;97,6;~100;..;12,8;14,2;11,2;
Enköping;0381;Uppsala län;03;Kommunal;Bild;380;196;184;97,1;~100;..;12,6;14,1;11,0;
Enköping;0381;Uppsala län;03;Enskild;Bild;152;81;71;~100;~100;~100;13,3;14,5;11,9;
Eskilstuna;0484;Södermanlands län;04;Samtliga;Bild;1 373;674;699;97,3;98,5;96,1;13,3;14,6;12,2;
Eskilstuna;0484;Södermanlands län;04;Kommunal;Bild;1 057;521;536;97,1;98,3;95,9;13,3;14,5;12,1;
Eskilstuna;0484;Södermanlands län;04;Enskild;Bild;316;153;163;98,1;~100;..;13,6;14,8;12,5;
Eslöv;1285;Skåne län;12;Samtliga;Bild;416;184;232;98,1;~100;..;13,9;15,5;12,7;
Eslöv;1285;Skåne län;12;Kommunal;Bild;405;178;227;98,0;~100;..;13,9;15,5;12,7;
Eslöv;1285;Skåne län;12;Enskild;Bild;11;..;..;100,0;..;..;15,0;..;..;
Essunga;1445;Västra Götalands län;14;Samtliga;Bild;41;22;19;100,0;100,0;100,0;14,2;15,3;12,9;
Essunga;1445;Västra Götalands län;14;Kommunal;Bild;41;22;19;100,0;100,0;100,0;14,2;15,3;12,9;
Fagersta;1982;Västmanlands län;19;Samtliga;Bild;159;74;85;95,0;~100;..;13,6;16,2;11,4;
Fagersta;1982;Västmanlands län;19;Kommunal;Bild;139;64;75;94,2;~100;..;13,7;16,5;11,3;
Fagersta;1982;Västmanlands län;19;Enskild;Bild;20;10;10;100,0;100,0;100,0;13,1;14,3;12,0;
Falkenberg;1382;Hallands län;13;Samtliga;Bild;500;238;262;97,6;~100;..;13,0;14,5;11,7;
Falkenberg;1382;Hallands län;13;Kommunal;Bild;403;206;197;97,3;~100;..;12,8;14,0;11,5;
Falkenberg;1382;Hallands län;13;Enskild;Bild;97;32;65;~100;100,0;~100;14,0;17,6;12,3;
Falköping;1499;Västra Götalands län;14;Samtliga;Bild;423;206;217;96,7;96,1;97,2;13,2;14,3;12,1;
Falköping;1499;Västra Götalands län;14;Kommunal;Bild;408;199;209;96,6;96,0;97,1;13,2;14,3;12,1;
Falköping;1499;Västra Götalands län;14;Enskild;Bild;15;..;..;100,0;..;..;13,0;..;..;
Falun;2080;Dalarnas län;20;Samtliga;Bild;686;338;348;97,5;98,2;96,8;13,8;15,3;12,3;
Falun;2080;Dalarnas län;20;Kommunal;Bild;503;239;264;97,0;97,9;96,2;13,3;15,0;11,8;
Falun;2080;Dalarnas län;20;Enskild;Bild;183;99;84;~100;~100;~100;14,9;15,9;13,7;
Filipstad;1782;Värmlands län;17;Samtliga;Bild;125;65;60;~100;100,0;~100;14,0;15,4;12,5;
Filipstad;1782;Värmlands län;17;Kommunal;Bild;118;59;59;~100;100,0;~100;13,8;15,1;12,4;
